MFile 0 1 480
MTrk
0 Meta TrkName "drums"
0 Meta InstrName "midi"
29280 On ch=1 n=26 v=99
29280 On ch=1 n=28 v=99
29400 Off ch=1 n=26 v=64
29760 On ch=1 n=25 v=123
29760 On ch=1 n=26 v=123
29760 On ch=1 n=30 v=0
29760 Off ch=1 n=28 v=64
29880 Off ch=1 n=26 v=64
30000 On ch=1 n=25 v=123
30000 On ch=1 n=26 v=123
30000 Off ch=1 n=25 v=64
30120 Off ch=1 n=26 v=64
30236 Off ch=1 n=32 v=64
30240 On ch=1 n=28 v=92
30240 On ch=1 n=32 v=86
30240 Off ch=1 n=25 v=64
30480 On ch=1 n=25 v=123
30480 On ch=1 n=26 v=123
30600 Off ch=1 n=26 v=64
30716 Off ch=1 n=32 v=0
30716 On ch=1 n=29 v=87
30720 On ch=1 n=25 v=123
30720 On ch=1 n=26 v=123
30720 On ch=1 n=30 v=99
30720 On ch=1 n=32 v=86
30720 Off ch=1 n=25 v=64
30720 Off ch=1 n=28 v=64
30721 On ch=1 n=36 v=96
30840 Off ch=1 n=26 v=0
30840 Off ch=1 n=26 v=0
31200 On ch=1 n=26 v=99
31200 On ch=1 n=28 v=99
31200 Off ch=1 n=25 v=0
31200 Off ch=1 n=29 v=64
31320 Off ch=1 n=26 v=64
31435 On ch=1 n=36 v=0
31439 On ch=1 n=36 v=98
31440 On ch=1 n=25 v=123
31440 On ch=1 n=26 v=123
31560 Off ch=1 n=26 v=64
31560 Off ch=1 n=26 v=64
31680 Off ch=1 n=28 v=64
31915 On ch=1 n=36 v=0
31919 On ch=1 n=36 v=99
31919 On ch=1 n=26 v=99
31919 On ch=1 n=28 v=99
31919 Off ch=1 n=25 v=64
32040 Off ch=1 n=26 v=64
32160 On ch=1 n=25 v=123
32160 On ch=1 n=26 v=123
32160 On ch=1 n=30 v=90
32160 On ch=1 n=36 v=0
32164 On ch=1 n=36 v=94
32280 Off ch=1 n=26 v=64
32280 Off ch=1 n=26 v=64
32296 On ch=1 n=30 v=0
32400 Off ch=1 n=28 v=64
32640 Off ch=1 n=25 v=64
32881 On ch=1 n=36 v=0
32885 On ch=1 n=36 v=90
33120 On ch=1 n=26 v=99
33120 On ch=1 n=28 v=99
33240 Off ch=1 n=26 v=64
33356 On ch=1 n=36 v=0
33360 On ch=1 n=36 v=95
33360 On ch=1 n=25 v=123
33360 On ch=1 n=26 v=123
33480 Off ch=1 n=26 v=64
33598 On ch=1 n=29 v=120
33600 On ch=1 n=25 v=123
33600 On ch=1 n=26 v=123
33600 On ch=1 n=30 v=0
33600 Off ch=1 n=25 v=64
33600 Off ch=1 n=28 v=64
33720 Off ch=1 n=26 v=64
33840 Off ch=1 n=25 v=64
34075 On ch=1 n=36 v=0
34079 On ch=1 n=36 v=92
34079 On ch=1 n=26 v=86
34200 Off ch=1 n=26 v=64
34206 On ch=1 n=29 v=0
34553 On ch=1 n=36 v=0
34557 On ch=1 n=36 v=99
34560 On ch=1 n=25 v=123
34560 On ch=1 n=26 v=123
34560 On ch=1 n=26 v=86
34560 On ch=1 n=30 v=107
34680 Off ch=1 n=26 v=64
34680 Off ch=1 n=26 v=64
34680 Off ch=1 n=26 v=64
34800 Off ch=1 n=32 v=64
35040 On ch=1 n=26 v=99
35040 On ch=1 n=28 v=99
35040 Off ch=1 n=25 v=64
35160 Off ch=1 n=26 v=64
35277 On ch=1 n=36 v=0
35280 On ch=1 n=25 v=123
35280 On ch=1 n=26 v=123
35280 On ch=1 n=30 v=0
35280 On ch=1 n=30 v=123
35281 On ch=1 n=36 v=90
35400 Off ch=1 n=26 v=64
35400 Off ch=1 n=26 v=64
35520 Off ch=1 n=28 v=64
35753 On ch=1 n=36 v=0
35757 On ch=1 n=36 v=83
35760 On ch=1 n=26 v=99
35760 On ch=1 n=28 v=99
35760 Off ch=1 n=25 v=64
35880 Off ch=1 n=26 v=64
35970 On ch=1 n=30 v=0
36000 On ch=1 n=26 v=86
36000 On ch=1 n=25 v=123
36000 On ch=1 n=26 v=123
36000 On ch=1 n=26 v=86
36000 On ch=1 n=30 v=110
36000 On ch=1 n=36 v=0
36004 On ch=1 n=36 v=82
36120 Off ch=1 n=26 v=64
36120 Off ch=1 n=26 v=64
36120 Off ch=1 n=26 v=64
36120 Off ch=1 n=26 v=64
36240 Off ch=1 n=28 v=64
36479 On ch=1 n=29 v=99
36480 Off ch=1 n=25 v=64
36706 On ch=1 n=36 v=0
36710 On ch=1 n=36 v=91
36720 On ch=1 n=26 v=86
36840 Off ch=1 n=26 v=64
36924 Off ch=1 n=29 v=64
36960 On ch=1 n=26 v=99
36960 On ch=1 n=28 v=99
37080 Off ch=1 n=26 v=64
37190 On ch=1 n=36 v=0
37194 On ch=1 n=36 v=90
37426 On ch=1 n=36 v=0
37430 On ch=1 n=36 v=87
37439 On ch=1 n=29 v=99
37440 On ch=1 n=25 v=123
37440 On ch=1 n=26 v=123
37440 Off ch=1 n=28 v=64
37495 On ch=1 n=30 v=0
37560 Off ch=1 n=26 v=64
37680 On ch=1 n=25 v=123
37680 On ch=1 n=26 v=123
37680 Off ch=1 n=25 v=64
37800 Off ch=1 n=26 v=64
37884 On ch=1 n=29 v=0
37919 On ch=1 n=29 v=113
37919 On ch=1 n=28 v=92
37919 Off ch=1 n=25 v=64
38157 On ch=1 n=36 v=0
38160 On ch=1 n=25 v=123
38160 On ch=1 n=26 v=123
38160 On ch=1 n=36 v=91
38280 Off ch=1 n=26 v=64
38397 On ch=1 n=36 v=0
38400 On ch=1 n=25 v=123
38400 On ch=1 n=26 v=123
38400 On ch=1 n=30 v=110
38400 Off ch=1 n=25 v=64
38400 Off ch=1 n=28 v=64
38401 On ch=1 n=36 v=94
38413 On ch=1 n=29 v=0
38520 Off ch=1 n=26 v=0
38520 Off ch=1 n=26 v=0
38880 On ch=1 n=26 v=99
38880 On ch=1 n=28 v=99
38880 Off ch=1 n=25 v=0
39000 Off ch=1 n=26 v=64
39115 On ch=1 n=36 v=0
39119 On ch=1 n=36 v=81
39120 On ch=1 n=25 v=123
39120 On ch=1 n=26 v=123
39120 On ch=1 n=30 v=0
39120 On ch=1 n=30 v=127
39240 Off ch=1 n=26 v=64
39240 Off ch=1 n=26 v=64
39360 Off ch=1 n=28 v=64
39595 On ch=1 n=36 v=0
39599 On ch=1 n=36 v=93
39599 On ch=1 n=26 v=99
39599 On ch=1 n=28 v=99
39599 Off ch=1 n=25 v=64
39720 Off ch=1 n=26 v=64
39758 On ch=1 n=30 v=0
39840 On ch=1 n=25 v=123
39840 On ch=1 n=26 v=123
39840 On ch=1 n=30 v=96
39840 On ch=1 n=36 v=0
39844 On ch=1 n=36 v=81
39960 Off ch=1 n=26 v=64
39960 Off ch=1 n=26 v=64
40080 Off ch=1 n=28 v=64
40320 Off ch=1 n=25 v=64
40561 On ch=1 n=36 v=0
40565 On ch=1 n=36 v=92
40800 On ch=1 n=26 v=99
40800 On ch=1 n=28 v=99
40920 Off ch=1 n=26 v=64
41036 On ch=1 n=36 v=0
41040 On ch=1 n=36 v=88
41040 On ch=1 n=25 v=123
41040 On ch=1 n=26 v=123
41160 Off ch=1 n=26 v=64
41275 On ch=1 n=29 v=102
41280 On ch=1 n=25 v=123
41280 On ch=1 n=26 v=123
41280 On ch=1 n=30 v=0
41280 Off ch=1 n=25 v=64
41280 Off ch=1 n=28 v=64
41400 Off ch=1 n=26 v=64
41520 Off ch=1 n=25 v=64
41755 On ch=1 n=36 v=0
41759 On ch=1 n=36 v=93
41759 On ch=1 n=26 v=86
41759 On ch=1 n=29 v=0
41880 Off ch=1 n=26 v=64
42233 On ch=1 n=36 v=0
42237 On ch=1 n=36 v=98
42240 On ch=1 n=25 v=123
42240 On ch=1 n=26 v=123
42240 On ch=1 n=26 v=86
42240 On ch=1 n=30 v=101
42360 Off ch=1 n=26 v=64
42360 Off ch=1 n=26 v=64
42360 Off ch=1 n=26 v=64
42720 On ch=1 n=26 v=99
42720 On ch=1 n=28 v=99
42720 Off ch=1 n=25 v=64
42840 Off ch=1 n=26 v=64
42957 On ch=1 n=36 v=0
42960 On ch=1 n=25 v=123
42960 On ch=1 n=26 v=123
42960 On ch=1 n=30 v=0
42960 On ch=1 n=30 v=124
42961 On ch=1 n=36 v=95
43080 Off ch=1 n=26 v=64
43080 Off ch=1 n=26 v=64
43200 Off ch=1 n=28 v=64
43433 On ch=1 n=36 v=0
43437 On ch=1 n=36 v=90
43440 On ch=1 n=26 v=99
43440 On ch=1 n=28 v=99
43440 Off ch=1 n=25 v=64
43560 Off ch=1 n=26 v=64
43662 On ch=1 n=30 v=0
43680 On ch=1 n=26 v=86
43680 On ch=1 n=25 v=123
43680 On ch=1 n=26 v=123
43680 On ch=1 n=26 v=86
43680 On ch=1 n=30 v=78
43680 On ch=1 n=36 v=0
43684 On ch=1 n=36 v=92
43800 Off ch=1 n=26 v=64
43800 Off ch=1 n=26 v=64
43800 Off ch=1 n=26 v=64
43800 Off ch=1 n=26 v=64
43920 Off ch=1 n=28 v=64
44154 On ch=1 n=29 v=126
44160 Off ch=1 n=25 v=64
44400 On ch=1 n=26 v=86
44520 Off ch=1 n=26 v=64
44583 On ch=1 n=29 v=0
44636 On ch=1 n=29 v=95
44640 On ch=1 n=26 v=99
44640 On ch=1 n=28 v=99
44760 Off ch=1 n=26 v=64
45054 On ch=1 n=29 v=0
45107 On ch=1 n=36 v=0
45111 On ch=1 n=36 v=83
45120 On ch=1 n=25 v=123
45120 On ch=1 n=26 v=123
45120 On ch=1 n=30 v=0
45120 Off ch=1 n=28 v=64
45240 Off ch=1 n=26 v=64
45360 On ch=1 n=25 v=123
45360 On ch=1 n=26 v=123
45360 Off ch=1 n=25 v=64
45480 Off ch=1 n=26 v=64
45600 On ch=1 n=28 v=92
45600 Off ch=1 n=25 v=64
45840 On ch=1 n=25 v=123
45840 On ch=1 n=26 v=123
45960 Off ch=1 n=26 v=64
46066 On ch=1 n=36 v=0
46070 On ch=1 n=36 v=83
46080 On ch=1 n=26 v=99
46080 On ch=1 n=30 v=99
46080 Off ch=1 n=25 v=64
46080 Off ch=1 n=28 v=64
46200 Off ch=1 n=26 v=0
46560 On ch=1 n=26 v=99
46680 Off ch=1 n=26 v=64
47040 On ch=1 n=26 v=99
47160 Off ch=1 n=26 v=64
47520 On ch=1 n=26 v=99
47520 On ch=1 n=30 v=90
47640 Off ch=1 n=26 v=64
47656 On ch=1 n=30 v=0
48000 On ch=1 n=26 v=99
48120 Off ch=1 n=26 v=64
48480 On ch=1 n=26 v=99
48600 Off ch=1 n=26 v=64
48960 On ch=1 n=26 v=99
48960 On ch=1 n=30 v=0
49080 Off ch=1 n=26 v=64
49440 On ch=1 n=26 v=99
49560 Off ch=1 n=26 v=64
49906 Off ch=1 n=36 v=64
49910 On ch=1 n=36 v=83
49920 On ch=1 n=26 v=99
49920 On ch=1 n=30 v=99
50040 Off ch=1 n=26 v=64
50400 On ch=1 n=26 v=99
50520 Off ch=1 n=26 v=64
50880 On ch=1 n=26 v=99
51000 Off ch=1 n=26 v=64
51360 On ch=1 n=26 v=99
51360 On ch=1 n=30 v=90
51480 Off ch=1 n=26 v=64
51496 Off ch=1 n=30 v=64
51840 On ch=1 n=26 v=99
51960 Off ch=1 n=26 v=64
52320 On ch=1 n=26 v=99
52440 Off ch=1 n=26 v=64
52800 On ch=1 n=26 v=99
52800 Off ch=1 n=30 v=64
52920 Off ch=1 n=26 v=64
53280 On ch=1 n=26 v=99
53400 Off ch=1 n=26 v=64
53746 Off ch=1 n=36 v=64
53750 On ch=1 n=36 v=83
53760 On ch=1 n=26 v=99
53760 On ch=1 n=30 v=99
53880 Off ch=1 n=26 v=64
54240 On ch=1 n=26 v=99
54360 Off ch=1 n=26 v=64
54720 On ch=1 n=26 v=99
54840 Off ch=1 n=26 v=64
55200 On ch=1 n=26 v=99
55200 On ch=1 n=30 v=90
55320 Off ch=1 n=26 v=64
55336 On ch=1 n=30 v=0
55680 On ch=1 n=26 v=99
55800 Off ch=1 n=26 v=64
56160 On ch=1 n=26 v=99
56280 Off ch=1 n=26 v=64
56640 On ch=1 n=26 v=99
56640 On ch=1 n=30 v=0
56760 Off ch=1 n=26 v=64
57120 On ch=1 n=26 v=99
57240 Off ch=1 n=26 v=64
57586 Off ch=1 n=36 v=64
57590 On ch=1 n=36 v=83
60820 On ch=1 n=24 v=100
61323 Off ch=1 n=36 v=64
61436 Off ch=1 n=24 v=64
61440 On ch=1 n=24 v=100
61440 On ch=1 n=25 v=100
61905 On ch=1 n=25 v=0
61920 On ch=1 n=28 v=100
62051 Off ch=1 n=28 v=0
62156 Off ch=1 n=24 v=0
62160 On ch=1 n=24 v=100
62160 On ch=1 n=25 v=100
62508 On ch=1 n=25 v=0
62640 On ch=1 n=28 v=100
62771 Off ch=1 n=28 v=64
62876 Off ch=1 n=24 v=64
62880 On ch=1 n=24 v=100
62880 On ch=1 n=25 v=100
63680 On ch=1 n=27 v=100
63994 Off ch=1 n=27 v=64
64000 On ch=1 n=27 v=100
64020 On ch=1 n=25 v=0
64136 Off ch=1 n=24 v=64
64314 Off ch=1 n=27 v=64
64320 On ch=1 n=27 v=100
64634 Off ch=1 n=27 v=64
64640 On ch=1 n=27 v=100
64954 Off ch=1 n=27 v=64
64960 On ch=1 n=27 v=100
65274 Off ch=1 n=27 v=64
65280 On ch=1 n=25 v=100
65280 On ch=1 n=30 v=101
65572 On ch=1 n=25 v=0
65760 On ch=1 n=28 v=100
65891 Off ch=1 n=28 v=64
66000 On ch=1 n=25 v=100
66000 On ch=1 n=30 v=0
66000 On ch=1 n=30 v=124
66135 On ch=1 n=25 v=0
66240 On ch=1 n=26 v=100
66240 On ch=1 n=28 v=100
66360 Off ch=1 n=26 v=64
66371 Off ch=1 n=28 v=64
66480 On ch=1 n=28 v=100
66611 Off ch=1 n=28 v=64
66702 On ch=1 n=30 v=0
66720 On ch=1 n=25 v=100
66720 On ch=1 n=26 v=100
66720 On ch=1 n=28 v=100
66720 On ch=1 n=30 v=78
66840 Off ch=1 n=26 v=64
66851 Off ch=1 n=28 v=64
66960 On ch=1 n=26 v=100
67057 On ch=1 n=25 v=0
67080 Off ch=1 n=26 v=64
67200 On ch=1 n=26 v=100
67320 On ch=1 n=26 v=100
67320 Off ch=1 n=26 v=64
67440 On ch=1 n=26 v=100
67440 Off ch=1 n=26 v=64
67560 On ch=1 n=26 v=100
67560 Off ch=1 n=26 v=64
67680 Off ch=1 n=26 v=64
68160 On ch=1 n=26 v=100
68160 On ch=1 n=30 v=0
68280 On ch=1 n=26 v=0
68400 On ch=1 n=26 v=100
68520 Off ch=1 n=26 v=64
68640 On ch=1 n=26 v=100
68760 Off ch=1 n=26 v=64
68880 On ch=1 n=26 v=100
69000 Off ch=1 n=26 v=64
69120 On ch=1 n=24 v=100
69120 On ch=1 n=25 v=100
69531 On ch=1 n=25 v=0
69600 On ch=1 n=28 v=100
69731 Off ch=1 n=28 v=0
69836 Off ch=1 n=24 v=0
69840 On ch=1 n=24 v=100
69840 On ch=1 n=25 v=100
69966 On ch=1 n=25 v=0
70320 On ch=1 n=25 v=100
70320 On ch=1 n=28 v=100
70333 On ch=1 n=25 v=0
70451 Off ch=1 n=28 v=64
70556 Off ch=1 n=24 v=64
70560 On ch=1 n=24 v=100
70560 On ch=1 n=25 v=100
71360 On ch=1 n=27 v=100
71674 Off ch=1 n=27 v=64
71680 On ch=1 n=27 v=100
71816 Off ch=1 n=24 v=64
71820 On ch=1 n=24 v=100
71960 On ch=1 n=25 v=0
71994 Off ch=1 n=27 v=64
72000 On ch=1 n=25 v=100
72220 On ch=1 n=25 v=0
72240 On ch=1 n=25 v=100
72360 Off ch=1 n=24 v=0
72460 Off ch=1 n=25 v=64
72480 On ch=1 n=25 v=100
72480 On ch=1 n=32 v=83
72602 Off ch=1 n=32 v=64
72606 On ch=1 n=32 v=83
72648 Off ch=1 n=32 v=64
72652 On ch=1 n=32 v=83
72700 Off ch=1 n=25 v=64
72720 On ch=1 n=25 v=100
72739 Off ch=1 n=32 v=64
72743 On ch=1 n=32 v=83
72825 Off ch=1 n=32 v=64
72829 On ch=1 n=32 v=83
72871 Off ch=1 n=32 v=64
72875 On ch=1 n=32 v=83
72917 Off ch=1 n=32 v=64
72921 On ch=1 n=32 v=83
72933 Off ch=1 n=32 v=64
72937 On ch=1 n=32 v=83
72940 Off ch=1 n=25 v=64
72960 On ch=1 n=25 v=100
72960 On ch=1 n=25 v=100
72960 On ch=1 n=26 v=100
72960 On ch=1 n=31 v=83
72969 On ch=1 n=31 v=83
72981 On ch=1 n=31 v=83
72994 On ch=1 n=31 v=83
72998 Off ch=1 n=32 v=64
73002 On ch=1 n=32 v=83
73013 On ch=1 n=31 v=83
73038 On ch=1 n=31 v=83
73042 On ch=1 n=25 v=0
73060 On ch=1 n=31 v=83
73073 On ch=1 n=31 v=83
73080 On ch=1 n=26 v=0
73098 On ch=1 n=30 v=83
73098 On ch=1 n=31 v=83
73380 Off ch=1 n=31 v=0
73389 Off ch=1 n=31 v=64
73401 Off ch=1 n=31 v=64
73414 Off ch=1 n=31 v=64
73425 Off ch=1 n=25 v=64
73432 Off ch=1 n=31 v=64
73438 Off ch=1 n=32 v=64
73440 On ch=1 n=28 v=100
73442 On ch=1 n=32 v=83
73458 Off ch=1 n=31 v=64
73480 Off ch=1 n=31 v=64
73493 Off ch=1 n=31 v=64
73518 Off ch=1 n=30 v=64
73518 Off ch=1 n=31 v=64
73571 Off ch=1 n=28 v=64
73680 On ch=1 n=25 v=100
73680 On ch=1 n=31 v=83
73700 On ch=1 n=31 v=83
73713 On ch=1 n=31 v=83
73732 On ch=1 n=31 v=83
73744 On ch=1 n=31 v=83
73767 On ch=1 n=31 v=83
73791 On ch=1 n=31 v=83
73815 On ch=1 n=31 v=83
73838 On ch=1 n=30 v=83
73838 On ch=1 n=31 v=83
73918 Off ch=1 n=32 v=64
73920 On ch=1 n=26 v=100
73920 On ch=1 n=28 v=100
73922 On ch=1 n=32 v=83
74028 Off ch=1 n=25 v=64
74040 Off ch=1 n=26 v=64
74051 Off ch=1 n=28 v=64
74100 Off ch=1 n=31 v=64
74120 Off ch=1 n=31 v=64
74133 Off ch=1 n=31 v=64
74152 Off ch=1 n=31 v=64
74160 On ch=1 n=28 v=100
74164 Off ch=1 n=31 v=64
74187 Off ch=1 n=31 v=64
74211 Off ch=1 n=31 v=64
74235 Off ch=1 n=31 v=64
74258 Off ch=1 n=30 v=64
74258 Off ch=1 n=31 v=64
74291 Off ch=1 n=28 v=64
74398 Off ch=1 n=32 v=64
74400 On ch=1 n=26 v=100
74400 On ch=1 n=28 v=100
74402 On ch=1 n=32 v=83
74411 On ch=1 n=31 v=83
74434 On ch=1 n=31 v=83
74445 On ch=1 n=31 v=83
74458 On ch=1 n=31 v=83
74477 On ch=1 n=31 v=83
74493 On ch=1 n=31 v=83
74504 On ch=1 n=31 v=83
74510 On ch=1 n=31 v=83
74520 Off ch=1 n=26 v=64
74531 Off ch=1 n=28 v=64
74532 On ch=1 n=30 v=83
74532 On ch=1 n=31 v=83
74640 On ch=1 n=26 v=100
74760 Off ch=1 n=26 v=64
74831 Off ch=1 n=31 v=64
74854 Off ch=1 n=31 v=64
74865 Off ch=1 n=31 v=64
74878 Off ch=1 n=31 v=64
74878 Off ch=1 n=32 v=64
74880 On ch=1 n=25 v=100
74880 On ch=1 n=26 v=100
74882 On ch=1 n=32 v=83
74898 Off ch=1 n=31 v=64
74914 Off ch=1 n=31 v=64
74924 Off ch=1 n=31 v=64
74930 Off ch=1 n=31 v=64
74952 Off ch=1 n=30 v=64
74952 Off ch=1 n=31 v=64
75000 On ch=1 n=26 v=100
75000 Off ch=1 n=26 v=64
75120 On ch=1 n=26 v=100
75120 On ch=1 n=26 v=100
75120 Off ch=1 n=26 v=64
